ds,ENTRIES_DIFF,EXITS_DIFF,y
2014-02-01,91791.0,97974.0,189765.0
2014-02-02,75520.0,75016.0,150536.0
2014-02-03,164995.0,142947.0,307942.0
2014-02-04,188258.0,162660.0,350918.0
2014-02-05,140349.0,130518.0,270867.0
2014-02-06,190350.0,170609.0,360959.0
2014-02-07,187810.0,173608.0,361418.0
2014-02-08,89287.0,88293.0,177580.0
2014-02-09,70611.0,66801.0,137412.0
2014-02-10,176081.0,156490.0,332571.0
2014-02-11,184459.0,164078.0,348537.0
2014-02-12,193850.0,171217.0,365067.0
2014-02-13,110773.0,98805.0,209578.0
2014-02-14,167553.0,160797.0,328350.0
2014-02-15,90002.0,90528.0,180530.0
2014-02-16,81232.0,81042.0,162274.0
2014-02-17,110436.0,99628.0,210064.0
2014-02-18,179422.0,154850.0,334272.0
2014-02-19,182943.0,163826.0,346769.0
2014-02-20,183897.0,167380.0,351277.0
2014-02-21,180432.0,168732.0,349164.0
2014-02-22,98770.0,92588.0,191358.0
2014-02-23,75174.0,69947.0,145121.0
2014-02-24,181278.0,159918.0,341196.0
2014-02-25,185013.0,160865.0,345878.0
2014-02-26,179347.0,156549.0,335896.0
2014-02-27,186694.0,170700.0,357394.0
2014-02-28,187597.0,173149.0,360746.0
2014-03-01,95595.0,93134.0,188729.0
2014-03-02,81088.0,72104.0,153192.0
2014-03-03,172777.0,151649.0,324426.0
2014-03-04,187923.0,164363.0,352286.0
2014-03-05,188887.0,164727.0,353614.0
2014-03-06,190801.0,170989.0,361790.0
2014-03-07,192001.0,176862.0,368863.0
2014-03-08,103115.0,102842.0,205957.0
2014-03-09,78904.0,76321.0,155225.0
2014-03-10,179186.0,157817.0,337003.0
2014-03-11,188788.0,163575.0,352363.0
2014-03-12,186444.0,170536.0,356980.0
2014-03-13,196506.0,170694.0,367200.0
2014-03-14,187817.0,173409.0,361226.0
2014-03-15,101162.0,99234.0,200396.0
2014-03-16,82163.0,80462.0,162625.0
2014-03-17,176097.0,151995.0,328092.0
2014-03-18,180356.0,160153.0,340509.0
2014-03-19,192715.0,169638.0,362353.0
2014-03-20,183264.0,165271.0,348535.0
2014-03-21,181778.0,168542.0,350320.0
2014-03-22,99360.0,95552.0,194912.0
2014-03-23,83388.0,82284.0,165672.0
2014-03-24,182855.0,156212.0,339067.0
2014-03-25,182346.0,157358.0,339704.0
2014-03-26,182755.0,163911.0,346666.0
2014-03-27,195101.0,164494.0,359595.0
2014-03-28,178463.0,170083.0,348546.0
2014-03-29,93672.0,91098.0,184770.0
2014-03-30,85955.0,81091.0,167046.0
2014-03-31,180160.0,150236.0,330396.0
2014-04-01,179930.0,157722.0,337652.0
2014-04-02,183613.0,164394.0,348007.0
2014-04-03,186577.0,165669.0,352246.0
2014-04-04,187047.0,177173.0,364220.0
2014-04-05,110554.0,105820.0,216374.0
2014-04-06,86905.0,87184.0,174089.0
2014-04-07,182359.0,158544.0,340903.0
2014-04-08,183074.0,160061.0,343135.0
2014-04-09,183534.0,163083.0,346617.0
2014-04-10,187395.0,166622.0,354017.0
2014-04-11,181720.0,169927.0,351647.0
2014-04-12,100306.0,97696.0,198002.0
2014-04-13,83864.0,83696.0,167560.0
2014-04-14,171826.0,159556.0,331382.0
2014-04-15,179160.0,158480.0,337640.0
2014-04-16,187177.0,169426.0,356603.0
2014-04-17,191972.0,174914.0,366886.0
2014-04-18,159061.0,156991.0,316052.0
2014-04-19,99949.0,103022.0,202971.0
2014-04-20,86105.0,83478.0,169583.0
2014-04-21,177045.0,151681.0,328726.0
2014-04-22,180170.0,159258.0,339428.0
2014-04-23,187567.0,166134.0,353701.0
2014-04-24,184314.0,171551.0,355865.0
2014-04-25,186460.0,174231.0,360691.0
2014-04-26,104465.0,96224.0,200689.0
2014-04-27,93495.0,81369.0,174864.0
2014-04-28,175040.0,151169.0,326209.0
2014-04-29,183016.0,162623.0,345639.0
2014-04-30,197441.0,181000.0,378441.0
2014-05-01,189574.0,161225.0,350799.0
2014-05-02,183370.0,165994.0,349364.0
2014-05-03,101822.0,100971.0,202793.0
2014-05-04,85337.0,81733.0,167070.0
